"id","naffairs","affair","age","age.cat","age.imp","male","educ","edu.cat","occup","occup.cat","kids","relig","religious","yrsmarr","yrsmarr.cat","yrsmarr.imp","ratemarr","rate.marr.cat"
217,0,0,52,"50-54",50,1,18,"Masters",6,"manager",1,5,"very",15,"12+",17,3,"average"
220,0,0,22,"20-24",23,0,14,"some-college",1,"unskilled",0,5,"very",0.416999995708466,"4-6-mo",0.5,4,"somewhat-happy"
224,0,0,27,"25-29",28,0,18,"Masters",6,"manager",1,2,"not-at-all",4,"3-5-yrs",5,1,"very-unhappy"
227,0,0,32,"30-34",30,0,17,"some-graduate",5,"admin",1,5,"very",7,"6-8-yrs",6,3,"average"
228,0,0,22,"20-24",23,1,16,"College-graduate",5,"admin",0,3,"slightly",4,"3-5-yrs",5,5,"very-happy"
232,7,1,27,"25-29",26,0,18,"Masters",5,"admin",1,3,"slightly",4,"3-5-yrs",4,4,"somewhat-happy"
233,1,1,27,"25-29",28,0,14,"some-college",1,"unskilled",1,5,"very",7,"6-8-yrs",7,4,"somewhat-happy"
239,0,0,27,"25-29",25,0,18,"Masters",6,"manager",1,4,"somewhat",7,"6-8-yrs",7,5,"very-happy"
241,0,0,42,"40-44",40,0,18,"Masters",5,"admin",1,2,"not-at-all",15,"12+",34,4,"somewhat-happy"
245,0,0,27,"25-29",28,1,16,"College-graduate",3,"skilled",1,4,"somewhat",1.5,"1-2-yrs",1,5,"very-happy"
249,0,0,42,"40-44",43,1,20,"Phd-MD-Other",6,"manager",1,2,"not-at-all",15,"12+",12,4,"somewhat-happy"
252,12,1,27,"25-29",26,1,17,"some-graduate",5,"admin",1,3,"slightly",1.5,"1-2-yrs",2,4,"somewhat-happy"
253,12,1,27,"25-29",26,0,14,"some-college",6,"manager",1,4,"somewhat",7,"6-8-yrs",7,2,"somewhat-unhappy"
262,0,0,22,"20-24",21,0,14,"some-college",3,"skilled",0,5,"very",0.75,"7-12-mo",0.833333333333333,5,"very-happy"
265,0,0,32,"30-34",32,1,20,"Phd-MD-Other",6,"manager",1,2,"not-at-all",7,"6-8-yrs",7,4,"somewhat-happy"
267,0,0,27,"25-29",28,1,20,"Phd-MD-Other",6,"manager",1,5,"very",4,"3-5-yrs",3,5,"very-happy"
269,0,0,27,"25-29",27,1,20,"Phd-MD-Other",6,"manager",1,4,"somewhat",10,"9-11-yrs",10,4,"somewhat-happy"
271,0,0,22,"20-24",21,1,18,"Masters",5,"admin",0,1,"anti",4,"3-5-yrs",3,5,"very-happy"
274,3,1,42,"40-44",43,0,16,"College-graduate",5,"admin",1,4,"somewhat",15,"12+",27,4,"somewhat-happy"
275,7,1,27,"25-29",29,0,12,"HS-graduate",7,"executive",1,4,"somewhat",10,"9-11-yrs",10,3,"average"
277,0,0,37,"35-39",38,0,14,"some-college",3,"skilled",1,4,"somewhat",15,"12+",31,1,"very-unhappy"
287,1,1,27,"25-29",27,1,18,"Masters",5,"admin",0,2,"not-at-all",1.5,"1-2-yrs",1,2,"somewhat-unhappy"
288,1,1,32,"30-34",31,1,20,"Phd-MD-Other",6,"manager",0,4,"somewhat",4,"3-5-yrs",3,4,"somewhat-happy"
290,0,0,22,"20-24",24,1,16,"College-graduate",4,"clerical",1,5,"very",1.5,"1-2-yrs",2,4,"somewhat-happy"
292,0,0,37,"35-39",36,0,17,"some-graduate",1,"unskilled",1,4,"somewhat",15,"12+",16,5,"very-happy"
293,0,0,27,"25-29",26,0,17,"some-graduate",5,"admin",0,4,"somewhat",0.75,"7-12-mo",0.833333333333333,4,"somewhat-happy"
295,0,0,32,"30-34",33,1,20,"Phd-MD-Other",6,"manager",1,4,"somewhat",10,"9-11-yrs",10,4,"somewhat-happy"
299,0,0,47,"45-49",49,0,14,"some-college",7,"executive",1,5,"very",15,"12+",31,2,"somewhat-unhappy"
320,0,0,37,"35-39",37,1,20,"Phd-MD-Other",6,"manager",1,3,"slightly",10,"9-11-yrs",11,4,"somewhat-happy"
321,0,0,22,"20-24",24,0,16,"College-graduate",5,"admin",0,2,"not-at-all",0.75,"7-12-mo",0.666666666666667,5,"very-happy"
324,0,0,27,"25-29",29,1,18,"Masters",4,"clerical",0,2,"not-at-all",4,"3-5-yrs",4,5,"very-happy"
325,1,1,27,"25-29",28,0,14,"some-college",1,"unskilled",1,3,"slightly",7,"6-8-yrs",7,3,"average"
328,3,1,32,"30-34",34,0,14,"some-college",1,"unskilled",1,4,"somewhat",10,"9-11-yrs",11,4,"somewhat-happy"
334,0,0,32,"30-34",32,1,20,"Phd-MD-Other",6,"manager",0,4,"somewhat",7,"6-8-yrs",6,4,"somewhat-happy"
344,3,1,27,"25-29",26,1,18,"Masters",7,"executive",1,2,"not-at-all",4,"3-5-yrs",5,2,"somewhat-unhappy"
351,0,0,42,"40-44",40,1,17,"some-graduate",3,"skilled",1,2,"not-at-all",15,"12+",13,5,"very-happy"
353,1,1,17.5,"19-",19,0,14,"some-college",4,"clerical",0,5,"very",0.75,"7-12-mo",0.916666666666667,5,"very-happy"
354,1,1,32,"30-34",32,0,18,"Masters",1,"unskilled",1,4,"somewhat",10,"9-11-yrs",11,5,"very-happy"
355,0,0,37,"35-39",39,1,20,"Phd-MD-Other",6,"manager",1,4,"somewhat",10,"9-11-yrs",11,4,"somewhat-happy"
361,0,0,47,"45-49",46,0,17,"some-graduate",6,"manager",1,3,"slightly",15,"12+",24,5,"very-happy"
362,0,0,22,"20-24",24,0,16,"College-graduate",5,"admin",0,5,"very",1.5,"1-2-yrs",2,5,"very-happy"
366,0,0,27,"25-29",25,0,16,"College-graduate",6,"manager",0,2,"not-at-all",1.5,"1-2-yrs",1,4,"somewhat-happy"
367,7,1,32,"30-34",30,0,17,"some-graduate",6,"manager",1,2,"not-at-all",7,"6-8-yrs",7,4,"somewhat-happy"
369,7,1,37,"35-39",35,1,20,"Phd-MD-Other",6,"manager",1,2,"not-at-all",15,"12+",35,4,"somewhat-happy"
370,0,0,27,"25-29",28,0,17,"some-graduate",5,"admin",0,3,"slightly",4,"3-5-yrs",4,5,"very-happy"
374,0,0,32,"30-34",31,0,14,"some-college",4,"clerical",1,5,"very",10,"9-11-yrs",9,5,"very-happy"
378,0,0,22,"20-24",24,0,12,"HS-graduate",5,"admin",0,2,"not-at-all",0.125,"3-mo-or-less",0.0833333333333333,5,"very-happy"
381,0,0,47,"45-49",46,1,14,"some-college",4,"clerical",1,4,"somewhat",15,"12+",28,3,"average"
382,0,0,32,"30-34",30,1,14,"some-college",5,"admin",1,1,"anti",15,"12+",29,5,"very-happy"
383,0,0,27,"25-29",26,1,16,"College-graduate",5,"admin",1,4,"somewhat",7,"6-8-yrs",8,5,"very-happy"
384,0,0,22,"20-24",24,0,16,"College-graduate",5,"admin",1,3,"slightly",1.5,"1-2-yrs",2,5,"very-happy"
390,7,1,37,"35-39",37,0,20,"Phd-MD-Other",5,"admin",0,1,"anti",10,"9-11-yrs",11,3,"average"
392,12,1,32,"30-34",31,0,16,"College-graduate",5,"admin",1,2,"not-at-all",10,"9-11-yrs",10,5,"very-happy"
400,0,0,27,"25-29",25,1,17,"some-graduate",6,"manager",1,3,"slightly",4,"3-5-yrs",5,5,"very-happy"
403,0,0,22,"20-24",24,0,16,"College-graduate",5,"admin",0,3,"slightly",1.5,"1-2-yrs",1,5,"very-happy"
409,0,0,57,"55+",60,1,14,"some-college",7,"executive",1,2,"not-at-all",15,"12+",32,2,"somewhat-unhappy"
412,0,0,17.5,"19-",19,1,18,"Masters",6,"manager",1,3,"slightly",1.5,"1-2-yrs",1,5,"very-happy"
413,0,0,57,"55+",58,1,20,"Phd-MD-Other",6,"manager",1,4,"somewhat",15,"12+",27,5,"very-happy"
416,0,0,22,"20-24",24,0,16,"College-graduate",3,"skilled",0,2,"not-at-all",0.75,"7-12-mo",0.75,4,"somewhat-happy"
418,0,0,42,"40-44",42,1,17,"some-graduate",3,"skilled",0,4,"somewhat",4,"3-5-yrs",3,3,"average"
422,0,0,22,"20-24",22,0,12,"HS-graduate",1,"unskilled",1,4,"somewhat",1.5,"1-2-yrs",2,5,"very-happy"
423,7,1,52,"50-54",52,1,20,"Phd-MD-Other",6,"manager",1,2,"not-at-all",15,"12+",26,4,"somewhat-happy"
432,7,1,42,"40-44",43,0,12,"HS-graduate",1,"unskilled",1,1,"anti",15,"12+",29,3,"average"
435,0,0,22,"20-24",24,0,17,"some-graduate",6,"manager",0,1,"anti",0.416999995708466,"4-6-mo",0.5,4,"somewhat-happy"
436,1,1,52,"50-54",55,1,20,"Phd-MD-Other",6,"manager",1,2,"not-at-all",15,"12+",15,3,"average"
439,0,0,32,"30-34",32,0,17,"some-graduate",5,"admin",1,4,"somewhat",15,"12+",17,5,"very-happy"
445,0,0,27,"25-29",26,0,18,"Masters",5,"admin",0,3,"slightly",1.5,"1-2-yrs",1,2,"somewhat-unhappy"
447,0,0,22,"20-24",24,0,14,"some-college",1,"unskilled",1,3,"slightly",1.5,"1-2-yrs",1,5,"very-happy"
448,0,0,37,"35-39",39,0,14,"some-college",1,"unskilled",1,3,"slightly",15,"12+",15,4,"somewhat-happy"
449,0,0,32,"30-34",32,0,14,"some-college",3,"skilled",1,4,"somewhat",15,"12+",23,4,"somewhat-happy"
478,0,0,37,"35-39",39,1,14,"some-college",5,"admin",1,2,"not-at-all",10,"9-11-yrs",10,3,"average"
482,0,0,37,"35-39",38,1,16,"College-graduate",5,"admin",1,4,"somewhat",10,"9-11-yrs",9,4,"somewhat-happy"
483,2,1,37,"35-39",38,1,18,"Masters",6,"manager",1,3,"slightly",15,"12+",32,5,"very-happy"
486,0,0,57,"55+",55,1,20,"Phd-MD-Other",5,"admin",1,5,"very",15,"12+",28,3,"average"
489,0,0,27,"25-29",28,1,16,"College-graduate",3,"skilled",0,1,"anti",0.416999995708466,"4-6-mo",0.5,4,"somewhat-happy"
490,0,0,42,"40-44",42,0,14,"some-college",1,"unskilled",1,5,"very",15,"12+",19,5,"very-happy"
491,0,0,57,"55+",55,1,16,"College-graduate",6,"manager",1,3,"slightly",15,"12+",20,1,"very-unhappy"
492,0,0,37,"35-39",38,1,16,"College-graduate",6,"manager",1,1,"anti",10,"9-11-yrs",11,4,"somewhat-happy"
503,0,0,37,"35-39",39,1,17,"some-graduate",5,"admin",1,3,"slightly",15,"12+",23,5,"very-happy"
508,0,0,37,"35-39",38,1,20,"Phd-MD-Other",6,"manager",1,4,"somewhat",15,"12+",19,5,"very-happy"
509,0,0,27,"25-29",27,0,14,"some-college",1,"unskilled",1,5,"very",10,"9-11-yrs",11,5,"very-happy"
512,0,0,37,"35-39",35,1,18,"Masters",6,"manager",1,2,"not-at-all",10,"9-11-yrs",11,4,"somewhat-happy"
513,12,1,22,"20-24",20,0,12,"HS-graduate",3,"skilled",0,3,"slightly",4,"3-5-yrs",4,4,"somewhat-happy"
515,0,0,22,"20-24",23,0,12,"HS-graduate",4,"clerical",0,4,"somewhat",0.125,"3-mo-or-less",0.166666666666667,5,"very-happy"
516,12,1,27,"25-29",26,1,18,"Masters",6,"manager",1,1,"anti",7,"6-8-yrs",6,2,"somewhat-unhappy"
517,0,0,57,"55+",64,1,20,"Phd-MD-Other",6,"manager",1,5,"very",15,"12+",35,5,"very-happy"
518,1,1,27,"25-29",25,1,18,"Masters",5,"admin",1,3,"slightly",4,"3-5-yrs",3,5,"very-happy"
520,12,1,47,"45-49",47,1,17,"some-graduate",6,"manager",1,4,"somewhat",15,"12+",32,5,"very-happy"
526,12,1,42,"40-44",43,0,12,"HS-graduate",1,"unskilled",1,4,"somewhat",15,"12+",21,1,"very-unhappy"
528,7,1,27,"25-29",25,1,14,"some-college",3,"skilled",0,3,"slightly",4,"3-5-yrs",3,4,"somewhat-happy"
532,0,0,37,"35-39",39,0,18,"Masters",6,"manager",1,4,"somewhat",15,"12+",32,4,"somewhat-happy"
533,0,0,22,"20-24",20,1,14,"some-college",6,"manager",1,4,"somewhat",4,"3-5-yrs",4,4,"somewhat-happy"
535,0,0,27,"25-29",27,1,18,"Masters",5,"admin",1,4,"somewhat",7,"6-8-yrs",6,4,"somewhat-happy"
537,0,0,57,"55+",58,1,20,"Phd-MD-Other",5,"admin",1,4,"somewhat",15,"12+",35,4,"somewhat-happy"
538,0,0,32,"30-34",34,1,14,"some-college",6,"manager",1,3,"slightly",15,"12+",33,3,"average"
543,0,0,22,"20-24",20,0,14,"some-college",5,"admin",0,2,"not-at-all",1.5,"1-2-yrs",2,4,"somewhat-happy"
547,0,0,32,"30-34",33,0,17,"some-graduate",1,"unskilled",1,4,"somewhat",7,"6-8-yrs",6,5,"very-happy"
550,0,0,37,"35-39",39,0,17,"some-graduate",6,"manager",1,4,"somewhat",15,"12+",14,5,"very-happy"
553,7,1,32,"30-34",31,0,18,"Masters",4,"clerical",1,4,"somewhat",7,"6-8-yrs",6,5,"very-happy"
558,0,0,32,"30-34",31,0,18,"Masters",5,"admin",0,5,"very",1.5,"1-2-yrs",1,5,"very-happy"
571,0,0,42,"40-44",43,1,20,"Phd-MD-Other",7,"executive",1,5,"very",10,"9-11-yrs",10,4,"somewhat-happy"
576,1,1,32,"30-34",33,1,12,"HS-graduate",3,"skilled",1,3,"slightly",0.416999995708466,"4-6-mo",0.416666666666667,4,"somewhat-happy"
578,0,0,27,"25-29",25,0,16,"College-graduate",5,"admin",0,3,"slightly",7,"6-8-yrs",7,4,"somewhat-happy"
583,0,0,37,"35-39",36,1,20,"Phd-MD-Other",6,"manager",0,4,"somewhat",15,"12+",16,5,"very-happy"
586,0,0,37,"35-39",37,1,14,"some-college",3,"skilled",1,4,"somewhat",15,"12+",21,2,"somewhat-unhappy"
594,0,0,32,"30-34",31,1,18,"Masters",6,"manager",0,5,"very",10,"9-11-yrs",10,4,"somewhat-happy"
597,0,0,22,"20-24",24,0,16,"College-graduate",1,"unskilled",0,4,"somewhat",0.75,"7-12-mo",0.583333333333333,5,"very-happy"
602,0,0,27,"25-29",25,0,12,"HS-graduate",2,"semi-skilled",1,4,"somewhat",7,"6-8-yrs",6,4,"somewhat-happy"
603,0,0,27,"25-29",29,0,16,"College-graduate",2,"semi-skilled",1,2,"not-at-all",7,"6-8-yrs",6,5,"very-happy"
604,0,0,42,"40-44",44,0,18,"Masters",5,"admin",1,5,"very",15,"12+",28,4,"somewhat-happy"
611,3,1,47,"45-49",45,1,16,"College-graduate",5,"admin",1,5,"very",15,"12+",27,4,"somewhat-happy"
612,0,0,42,"40-44",43,1,17,"some-graduate",5,"admin",1,4,"somewhat",15,"12+",21,3,"average"
613,0,0,27,"25-29",27,0,16,"College-graduate",1,"unskilled",1,2,"not-at-all",7,"6-8-yrs",8,2,"somewhat-unhappy"
621,0,0,22,"20-24",22,0,16,"College-graduate",5,"admin",0,3,"slightly",1.5,"1-2-yrs",1,5,"very-happy"
625,12,1,37,"35-39",39,1,20,"Phd-MD-Other",5,"admin",1,2,"not-at-all",15,"12+",28,4,"somewhat-happy"
627,0,0,37,"35-39",38,1,20,"Phd-MD-Other",6,"manager",1,5,"very",15,"12+",18,5,"very-happy"
630,0,0,22,"20-24",20,0,14,"some-college",4,"clerical",0,2,"not-at-all",0.125,"3-mo-or-less",0.25,5,"very-happy"
631,0,0,27,"25-29",28,1,16,"College-graduate",5,"admin",0,4,"somewhat",1.5,"1-2-yrs",2,5,"very-happy"
632,0,0,32,"30-34",31,1,18,"Masters",6,"manager",0,2,"not-at-all",1.5,"1-2-yrs",1,5,"very-happy"
635,7,1,22,"20-24",22,1,17,"some-graduate",6,"manager",1,2,"not-at-all",4,"3-5-yrs",5,4,"somewhat-happy"
639,0,0,27,"25-29",25,1,17,"some-graduate",6,"manager",0,2,"not-at-all",1.5,"1-2-yrs",2,5,"very-happy"
645,0,0,27,"25-29",26,0,16,"College-graduate",1,"unskilled",1,4,"somewhat",10,"9-11-yrs",10,3,"average"
646,1,1,27,"25-29",27,1,14,"some-college",4,"clerical",0,2,"not-at-all",4,"3-5-yrs",4,5,"very-happy"
647,0,0,42,"40-44",43,1,18,"Masters",6,"manager",1,4,"somewhat",15,"12+",26,5,"very-happy"
648,0,0,27,"25-29",29,0,16,"College-graduate",6,"manager",0,2,"not-at-all",1.5,"1-2-yrs",1,5,"very-happy"
651,0,0,27,"25-29",25,1,18,"Masters",6,"manager",0,2,"not-at-all",4,"3-5-yrs",3,3,"average"
655,0,0,32,"30-34",32,0,14,"some-college",5,"admin",1,3,"slightly",10,"9-11-yrs",11,3,"average"
657,7,1,52,"50-54",50,0,16,"College-graduate",1,"unskilled",1,5,"very",15,"12+",28,3,"average"
659,1,1,27,"25-29",28,1,14,"some-college",3,"skilled",0,3,"slightly",4,"3-5-yrs",4,3,"average"
666,1,1,27,"25-29",26,0,16,"College-graduate",1,"unskilled",1,4,"somewhat",10,"9-11-yrs",11,4,"somewhat-happy"
667,0,0,32,"30-34",30,0,18,"Masters",5,"admin",1,3,"slightly",15,"12+",13,4,"somewhat-happy"
670,0,0,22,"20-24",22,0,18,"Masters",6,"manager",0,2,"not-at-all",0.75,"7-12-mo",0.666666666666667,5,"very-happy"
671,0,0,37,"35-39",38,0,16,"College-graduate",1,"unskilled",1,2,"not-at-all",15,"12+",14,4,"somewhat-happy"
673,0,0,27,"25-29",25,1,20,"Phd-MD-Other",5,"admin",1,4,"somewhat",4,"3-5-yrs",5,5,"very-happy"
679,1,1,32,"30-34",31,1,14,"some-college",7,"executive",1,3,"slightly",7,"6-8-yrs",7,4,"somewhat-happy"
701,0,0,27,"25-29",28,1,20,"Phd-MD-Other",5,"admin",0,1,"anti",4,"3-5-yrs",3,4,"somewhat-happy"
705,0,0,27,"25-29",25,0,12,"HS-graduate",1,"unskilled",1,2,"not-at-all",10,"9-11-yrs",9,4,"somewhat-happy"
706,0,0,32,"30-34",31,0,18,"Masters",6,"manager",1,5,"very",15,"12+",28,4,"somewhat-happy"
709,0,0,27,"25-29",26,1,12,"HS-graduate",5,"admin",1,5,"very",7,"6-8-yrs",7,3,"average"
717,0,0,52,"50-54",50,1,18,"Masters",5,"admin",1,2,"not-at-all",15,"12+",16,4,"somewhat-happy"
719,0,0,27,"25-29",27,1,20,"Phd-MD-Other",6,"manager",0,3,"slightly",4,"3-5-yrs",4,3,"average"
723,0,0,37,"35-39",39,1,18,"Masters",5,"admin",1,1,"anti",4,"3-5-yrs",5,4,"somewhat-happy"
724,0,0,27,"25-29",26,1,14,"some-college",5,"admin",1,4,"somewhat",4,"3-5-yrs",4,4,"somewhat-happy"
726,0,0,52,"50-54",52,0,12,"HS-graduate",1,"unskilled",1,5,"very",15,"12+",32,3,"average"
729,7,1,32,"30-34",30,1,18,"Masters",4,"clerical",1,2,"not-at-all",7,"6-8-yrs",6,1,"very-unhappy"
734,0,0,57,"55+",61,0,16,"College-graduate",6,"manager",1,4,"somewhat",15,"12+",24,4,"somewhat-happy"
735,0,0,27,"25-29",28,1,16,"College-graduate",5,"admin",1,1,"anti",7,"6-8-yrs",8,4,"somewhat-happy"
736,0,0,37,"35-39",37,1,20,"Phd-MD-Other",6,"manager",1,4,"somewhat",7,"6-8-yrs",6,3,"average"
737,0,0,22,"20-24",23,1,14,"some-college",4,"clerical",0,2,"not-at-all",0.75,"7-12-mo",0.583333333333333,3,"average"
739,0,0,32,"30-34",31,1,18,"Masters",5,"admin",1,2,"not-at-all",4,"3-5-yrs",5,3,"average"
743,0,0,37,"35-39",39,1,20,"Phd-MD-Other",6,"manager",1,4,"somewhat",15,"12+",25,3,"average"
745,0,0,22,"20-24",24,1,14,"some-college",4,"clerical",1,2,"not-at-all",0.75,"7-12-mo",0.916666666666667,3,"average"
747,0,0,42,"40-44",42,1,20,"Phd-MD-Other",6,"manager",1,4,"somewhat",15,"12+",35,3,"average"
751,0,0,52,"50-54",55,0,17,"some-graduate",1,"unskilled",1,5,"very",15,"12+",14,1,"very-unhappy"
